,username,following,followers,retweetcount,text,date
30,anruik,126,40,460,"a fool thinks a longer tether means freedom.

something quick about the non-linear healing process of trauma https://t.co/UGNyuT07h4",2009-03-05 03:02:44+00:00
31,ADFSerials,47,74,2,"🔥#OTD in 1909, the tether of a german military balloon broke sending Lt. Gruber 1000ft into stormy clouds. Waiting for a better view of the ground, the aeronaut pulled the valve open. Upon descent he noticed the balloon was in fire... yet managed to land with only minor bruises!",2009-05-31 06:13:25+00:00
32,darksidegauge,197,180,0,@uItimathuIe like the Who takes the tether and who needs rot thing? i... dont actually know how to do that mechanic someone just calls it out every time 😫,2019-04-22 09:50:55+00:00
33,BrokenDaffodil,762,989,68,"I call upon the courage
of a wildflower to
grow where it wills,

I call upon the charm of
the dogwood flower
to resurrect in me,
all that I need for me to love and live

I call upon the sage flower to
tether me to all that is light
so mote it be, so mote it be

#turningthephrase https://t.co/WS5V0gQSWn",2020-08-24 00:00:59+00:00
34,cicadabugg,215,27,460,"a fool thinks a longer tether means freedom.

something quick about the non-linear healing process of trauma https://t.co/UGNyuT07h4",2018-10-02 19:02:26+00:00
35,orionkitsune,980,349,460,"a fool thinks a longer tether means freedom.

something quick about the non-linear healing process of trauma https://t.co/UGNyuT07h4",2011-02-10 21:13:13+00:00
36,Advent_Nebula,250,61,17,Crypto is a vastly inferior replacement for The Current Thing. Imagine Tether and Sam Bankman-Fraud replacing The Fed and Janet Yellen. It will end in disaster.,2017-02-19 02:17:45+00:00
37,idexintern,218,144,0,• Tether has been losing market share since mid-2020. https://t.co/kf2k4SRhlX,2021-12-09 02:38:45+00:00
38,lordofguptas,91,20,0,"Dear @urbancompany_UC, would u consider equipping your AC service partners with a tether/safety line equipment &amp; training to those who are sent to service #AirConditioner in high rise apartments.

https://t.co/w1nUOjIwEN",2010-04-17 12:48:59+00:00
39,Stephanie12144,895,802,13,"Whether anyone wants to believe me or not, this little OTC company $APTY is releasing a DeFi product that will compete directly with the multiple billion dollar market cap #Tether &amp; frankly @APTYsys #Spera stablecoin is far superior to USDT and 99% of existing coins… #NASDAQ 😉 https://t.co/4cElrj1yxV",2020-04-30 12:59:21+00:00
40,scalper432,188,1677,0,"This tweet could have saved many investors .

Unfortunately my reach in Twitter is quite low 

#crypto #eth #btc #Ramadan #NFTGiveaway #tether $luna $link $jewel https://t.co/K9H2Q5cNcy",2019-08-25 07:16:26+00:00
41,topcryptostats,0,4609,0,"Tether - USDT
Price: $1.00
Change in 1h: +0.00085665%
Market cap: $83,162,144,757.13
Ranking: 3
#Tether #USDT",2016-04-30 15:47:58+00:00
42,KIRAIZFUZZY,1577,586,0,"@RyDoge101 Thanks! While her name is now Tether, 2slow is her nickname :3

Also, i appreciate the kind words a lot!",2021-11-19 22:24:56+00:00
43,Rampa360,153,141,0,@BTCTN yeah i already lost a little of my tether but still thanks for the warning,2011-02-10 16:23:50+00:00
44,TickerTop,49,812,0,"1: Bitcoin price is $38326.73 (-0.01% 1h)
2: Ethereum price is $2790.33 (-0.18% 1h)
3: Tether price is $1.00 (0.00% 1h)
4: BNB price is $386.96 (-0.64% 1h)
5: USD Coin price is $1.00 (0.02% 1h)
12: Dogecoin price is $0.13 (-0.75% 1h)",2018-02-06 13:13:35+00:00
45,bindasfauji,2447,8678,0,.. the tether of your smoky thoughts,2009-09-06 12:59:39+00:00
46,DelanceyMacurdy,163,114,0,@Cointelegraph Spend your fiat on tether. That’s what I would do.,2012-02-14 17:11:27+00:00
47,AB_Philosopher,38,1164,2171,"Lost💔
🥀without you

🎼Music 🎥Video🍿

Featuring💫
“Tether me” by Galleaux
 from✨
 Lucifer - Season 5

👇Click the YouTube link👇
https://t.co/HbcbgT3vYP 

#Cactustweets_ 🌵 #Lucifer #RockstarGames @galleauxmusic @RockstarGames https://t.co/bgwRWtChPw",2019-10-14 12:04:56+00:00
48,abc7leanne,356,8567,8,"Just when you think they'll PIT a pursuit suspect, police in Arizona deploy an unexpected technology to end the chase. https://t.co/XvpHfmKWyE",2014-01-31 23:14:19+00:00
49,seannolan45,249,16,0,@paoloardoino Translation #tether market cap going up.,2012-11-14 20:33:34+00:00
50,Bridget31658422,55,18,1,"@CryptoWhale Are you signalling something else by saying ""cat"", just like the Tether use to do in past? 😅",2022-03-27 14:30:13+00:00
51,eddy_cooper56,97,74,0,@TheCryptoLark I do have this goal. Buying dips with my tether.,2012-03-13 06:08:52+00:00
52,anwrbwd1,29,23,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave $HZM A quantum leap in the world of information and communication technology..🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
#hzmcoin",2022-04-12 17:26:58+00:00
53,JapantradingLTD,1146,2677,13,Ouch. No tether fraud to save the day? https://t.co/MAbsm2gMgG,2018-02-11 05:07:09+00:00
54,anwrbwd1,29,23,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave @hzmcoin is growing fast Traded on five platforms Next week a new platform! I won't write much, go to my personal page and read the details 😍١٠",2022-04-12 17:26:58+00:00
55,anwrbwd1,29,23,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave HZM $ will pick it up and compare it to gold... Yes, it's Arab BTC

 It's the future... in your hands... grab the chance quickly because it may go away from you... feel free to buy now",2022-04-12 17:26:58+00:00
56,anwrbwd1,29,23,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave Good evening, I agree with you. In a world full of events, we must focus on what’s  real opportunity now is the HZM currency, which I advise you and everyone not to waste, as the upcoming projects are",2022-04-12 17:26:58+00:00
57,anwrbwd1,29,23,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave Good evening, I agree with you. In a world full of events, we must focus on what’s  real opportunity now is the HZM currency, which I advise you and everyone not to waste, as the upcoming projects are https://t.co/1sZDMFiBIl",2022-04-12 17:26:58+00:00
58,CripMm,110,222,38,"📊 Daily On-Chain Exchange Flow

#Bitcoin $BTC
➡️  $1.1B in
⬅️  $1.6B out
📉 Net flow: -$514.5M

#Ethereum $ETH
➡️  $1.3B in
⬅️  $1.3B out
📈 Net flow: +$17.9M

#Tether (ERC20) $USDT
➡️  $497.5M in
⬅️  $593.7M out
📉 Net flow: -$96.2M

https://t.co/dk2HbGwhVw",2021-05-23 06:48:56+00:00
59,zeroshorts,3985,3407,13,Ouch. No tether fraud to save the day? https://t.co/MAbsm2gMgG,2017-12-04 23:59:54+00:00
60,ly3909171,7,9,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave @hzmcoin is growing fast Traded on five platforms Next week a new platform! I won't write much, go to my personal page and read the details 😍١٠",2022-04-22 09:12:56+00:00
61,ly3909171,7,9,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave HZM $ will pick it up and compare it to gold... Yes, it's Arab BTC

 It's the future... in your hands... grab the chance quickly because it may go away from you... feel free to buy now",2022-04-22 09:12:56+00:00
62,ly3909171,7,9,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave $HZM A quantum leap in the world of information and communication technology..🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
#hzmcoin",2022-04-22 09:12:56+00:00
63,dragonsdesires1,2386,3903,68,"I call upon the courage
of a wildflower to
grow where it wills,

I call upon the charm of
the dogwood flower
to resurrect in me,
all that I need for me to love and live

I call upon the sage flower to
tether me to all that is light
so mote it be, so mote it be

#turningthephrase https://t.co/WS5V0gQSWn",2018-09-19 23:54:16+00:00
64,optictopic,1682,691,0,@concodanomics Tether and FTX are not the best crypto has to offer.  Much better crypto fintech is rolling out. This space is barely cutting its teeth.,2009-04-07 04:36:06+00:00
65,ly3909171,7,9,0,"@WhaleStatsBSC @Tether_to @beefyfinance @PaxosGlobal @VenusProtocol @Everdome_io @PancakeSwap @RadioCacaNFT @AaveAave Good evening, I agree with you. In a world full of events, we must focus on what’s  real opportunity now is the HZM currency, which I advise you and everyone not to waste, as the upcoming projects are",2022-04-22 09:12:56+00:00
