,Unnamed: 0,username,following,followers,retweetcount,text,date,show
37,37,Ink_217,625,128,182,we know whats up the harvest is going to be legendary fox,2021-05-12 14:07:43+00:00,0
38,38,TudorCv,749,767,122,"_eth bitcoin not crypto like a ""oh i'm really into bitcoins i love all the decentralized governance and daos happening there"" b ""which bitcoin is your favorite "" a ""oh i like solana also tezos the founder is a good guy french believes in anarchocapitalist stuff""",2020-12-30 20:27:57+00:00,0
39,39,thesizeofURpie,67,8,0,is like a rock fiat is like grass,2022-02-28 07:59:24+00:00,1
40,40,Americankube,166,7,0,_archive buy bitcoin for 401k and go homeless,2022-03-26 05:25:36+00:00,1
41,41,PlateLicker_21m,2532,3899,0,the pleb energy is strong,2017-11-19 22:15:26+00:00,0
42,42,Villen617Bos,290,127,0,any comment on buffett and,2017-01-02 23:52:43+00:00,0
43,43,1_btc,1310,807,30,raised_fist hold $stx chart_increasing earn check_mark_button it is that simple red_heart if you are already stacking $stx,2014-06-06 05:37:09+00:00,0
44,44,Bitcoin8News,8,5143,0,the $btc price is at $37 639 26 right now red_circle compared to the last tweet the price has dropped by $32 58 (0 09%) red_circle in the last 24 hours the price has dropped by $954 04 (2 47%),2021-01-09 15:26:06+00:00,0
45,45,SKALIAJAM99,202,21,125,summary of alts coin 1 bitcoin pump alts dump 2 bitcoin dump alts dump 3 bitcoin consolidates alts flat 4 bitcoin recover alts dump,2017-12-16 01:23:08+00:00,0
46,46,TambouraSeydou3,100,8,6,has been trading sideways for a long time there will be a big movement in may fed's interest rate decision on the 4th of may is one of the important news to follow,2021-06-24 16:39:19+00:00,0
47,47,sad_riego,1792,2460,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-06-16 05:12:31+00:00,0
48,48,lockstockpips,19,4492,5,dragging everything down as expected the usual caution is advised still waiting patiently for for a reset,2013-01-14 23:16:39+00:00,0
49,49,aYtuarte43,745,442,0,fml $shib crypto my god soo much “news” literally starting a new job this month all these “fortune favors the bold” brain washing bs messages man_facepalming_light_skin_tone shit never changes it was fun while it lasted disappointed_face water_wave,2017-02-22 03:51:29+00:00,0
50,50,orions06,37,31,44,will hold $36‘00,2009-06-29 11:47:56+00:00,0
51,51,armando7usa,1219,1147,389,are you refusing to talk & listen to our ethiopian & eritrean community because you are being lobbied by tplf and are you anti because you get money from big banks & pawn shops this is why we need campaign finance reform & term limits,2009-07-20 23:29:50+00:00,0
52,52,kenechip,446,98,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2010-10-18 13:35:11+00:00,0
53,53,askor202010,1613,376,650,the world can not afford the cost of war everyone feels the pain talks must prevail _ com 50 600 btc,2018-11-24 19:12:07+00:00,0
54,54,MrBitcoinCanada,484,856,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2011-12-25 20:08:42+00:00,0
55,55,JrDolotina,2933,749,698,why is $xrp so hated and why is there so much misinformation time for a thread everything started in 2013 xrp had started trading the technology had many promises it had the first ever dex where you could even trade and move btc in seconds then bitcoin maximalists came in 1/8,2019-10-23 23:42:33+00:00,0
56,56,Zerpillion,244,1033,1,i hear you are losing shit ton by hour again psst keep dimpin that shitcoin woozy_face,2018-01-07 06:17:02+00:00,0
57,57,Gholacrypto,334,22,0,do not fall into despair for nature loves courage,2022-03-06 15:24:40+00:00,1
58,58,KHMakerD,4999,2295,6064,alex jones is currently negotiating cooperation with the doj regarding january 6 an anonymous donor just gave jones $1 million worth of bitcoin who is the donor is this witness tampering or obstruction of justice,2014-09-26 16:51:26+00:00,0
59,59,AndrewLetchfor1,167,62,458,in this crazy world is just doing its thing every ten minutes,2022-02-05 22:14:28+00:00,1
60,60,247robby,618,1237,0,[1349] this day ( 07/11/'21 ) i've this 's to my ( ) account and getting for it,2010-01-15 15:57:04+00:00,0
61,61,RealKeithWeiner,857,5260,1,"bitcoin fixes the problem that who does not toil shall not eat and by ""fixes"" i mean promises this but of course cannot sustain it",2010-07-28 02:18:40+00:00,0
62,62,AmprosGr,202,135,1,money is rotating into & stables extremely swiftly whilst you desperately clinge onto 'good projects' even if we do get one last push it will be your lucky charm to sell the trash not even the tradfi low/medcaps are surviving what makes you think your shitcoin will,2021-10-14 19:35:37+00:00,0
63,63,jones_noahjones,20,3,79,when do you think will hit $2t in market capitalization,2022-04-08 22:19:06+00:00,1
64,64,SwCPoker,84,2295,3,the bad beat jackpot is now over 3 225 chart_increasing jackpot tables starting as low as 10/20 blinds play now on windows mac android or browser clients laptop red_apple mobile_phone right_arrow_curving_down globe_with_meridians,2014-11-04 07:30:35+00:00,0
65,65,IamRD01,2809,1689,6,what song would you sing to the markets so they come up again,2017-04-09 15:43:31+00:00,0
66,66,nj_tacp256,228,159,924,it is time for flexed_biceps,2015-10-12 23:00:08+00:00,0
67,67,nicalicious_,133,179,0,“only zelle cash bitcoin and ethrium” do i look like a robot,2016-07-25 05:58:36+00:00,0
68,68,Wesley27111985,191,24,0,be like,2017-11-04 08:05:06+00:00,0
69,69,AWahllos,2634,1728,1,will we ever see ath again,2021-05-01 15:05:29+00:00,0
70,70,ParabolicCrypt1,509,374,161,looks like it will be making a double bottom on the monthly chart the monthly candle closes tonight fire fire may will possibly be a very bullish month rocket rocket,2021-05-11 01:36:40+00:00,0
71,71,amislwplmacd,1049,202,823,new giveaway total reward $100 worth of $ghd $ape $gmt $bnb 500 people lock winners trophy join now check_mark_button retweet twitter + pushpin posts check_mark_button tag 5 friends + comment check_mark_button summit bep 20 ghd wallet address,2010-12-20 23:02:40+00:00,0
72,72,jimbo_cramer,321,34,829,warren buffett just said he would not buy all the bitcoin in the world for $25 this is because he does not know how to turn on a computer,2022-04-26 11:05:44+00:00,1
73,73,celengqn,3484,888,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-12-25 07:05:59+00:00,0
74,74,BaxterMystery,83,307,3918,but bitcoin energy use is a problem thinking_face,2012-08-15 02:17:09+00:00,0
75,75,goldenstate11,4984,1153,35,it is time for another giveaway fire rocket thumbs_up grinning_face dreams_nft 1 1 'ancient temple' could be yours like retweet eth add tag frens,2011-06-21 09:55:40+00:00,0
76,76,ObeseBallerina,319,180,366,i could not give any less fucks what charlie munger thinks of bitcoin,2022-03-21 02:27:03+00:00,1
77,77,VeeKnowsCryptos,278,455,0,tokenviz full_moon biggest 1 day volume $38 250 43 (−0 93%) $2 781 22 (−1 35%) $bch $282 2 (−4 40%) $luna $78 36 (−8 21%) $0 6053 (−0 98%) backhand_index_pointing_right follow to bring dashboard right to your feed,2021-11-21 17:36:52+00:00,0
78,78,BitcoinPriced,0,255,0,current price $37 755 80 chart_decreasing,2020-12-13 05:58:23+00:00,0
79,79,MahaRaja_77,4274,486,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-01-02 10:34:58+00:00,0
80,80,BitcoinObserve1,327,22,0,was sad how he repeatedly defended fraud fargo but yells at bitcoin warren is a mega liberal too so not surprised,2022-01-29 03:02:52+00:00,1
81,81,RajeshKarwa81,217,461,80,dominance broke out of this rising wedge flexed_biceps flexed_biceps this is very good for fire fire (fyi i posted this chart again because of wrong title this is the dominance chart),2013-10-27 11:34:26+00:00,0
82,82,RixxTech,51,395,0,4 hour top movers report,2018-05-19 15:03:18+00:00,0
83,83,dustinwatchman,2299,2267,0,3 minutes apart 1 call for go up 1 call for go down what are you all feeling up or down,2015-07-27 00:08:34+00:00,0
84,84,david_briane,216,159,194,do not panic weak hands part ii,2021-02-25 11:35:53+00:00,0
85,85,edson_cal,77,16,101,has to hit $50 00 within this week or i will give $500 to one lucky follower police_car_light like & retweet red_heart,2021-02-23 13:16:06+00:00,0
86,86,TaotaoSalupa,799,344,0,no it is just giving him bitcoin smh,2020-07-07 17:46:57+00:00,0
87,87,Sumarusk,3356,166,192,keycap_1 ağında keycap_2 100 00 hediye wrapped_gift to win reminder_ribbon backhand_index_pointing_down keycap_1 follow keycap_2 like + rt keycap_3 tag 3 friends 48 alarm_clock,2022-03-09 19:22:56+00:00,1
88,88,leovillani17,961,171,21,nft giveaway rocket rocket to enter follow & _ thumbs_up rt & _ pin tweet (required) tag 2 friends check_mark_button,2021-10-27 01:20:07+00:00,0
89,89,hermaion2014,587,52,1925,so i hear warren buffett & charlie munger are marketing again,2022-04-11 02:07:05+00:00,1
90,90,ciplat10,4996,210,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-04-11 05:29:02+00:00,0
91,91,DorisLytton,17,4,2,"global times ""china to shut down over 90% of its bitcoin mining capacity after local bans"" (dsp i cannot wait 4 the qla seminar in a few days i know we have a few crypto devotees attending i can beat of course i'm happy they were able to pay 4 the seminar wid bitfvck lol )",2022-04-16 07:18:22+00:00,1
92,92,Lumenaddy,22,543,5,this is the /bear market indicator i use it is (almost) never wrong when the indicator > 2% alarm bells ring i'll let you know when that happens also they will blame the next recession on /,2018-02-14 03:41:59+00:00,0
