,Unnamed: 0,username,following,followers,retweetcount,text,date,show
31,31,luckyjunhui10,4967,193,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2021-06-10 08:04:19+00:00,0
32,32,WynonaRyleigh,4992,618,11400,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2022-02-07 19:46:33+00:00,1
33,33,RogerJUlrichJr,5001,2321,1,i'm going to assume this dump is attributed to investors de risking digital assets in light of coming interest rate hikes inflation and gdp dips,2021-02-03 04:08:19+00:00,0
34,34,Dark_Helix85,193,35,4,$hodo ten mins left to win 20% of marketing wallet if you max buy this will be huge huge dev behind this project be surprised when you see who,2012-12-14 09:18:15+00:00,0
35,35,ETHGasPriceBot,0,1202,0,slow 20 1 | normal 25 | fast 65 6 | instant 84 2 backhand_index_pointing_left current ethereum gas prices in gwei dm me a price and i will dm you as soon as gas drops below that price thumbs_up,2021-01-04 09:25:56+00:00,0
36,36,maro09855621,2449,42,1415,wrapped_gift giveaway wrapped_gift trophy 30$ in $sol / $eth trophy 1x must follow & _ like & rt tag 3 friends ending in 24h,2022-03-06 17:15:35+00:00,1
37,37,Claire15139712,202,50,16,fun fact these nike sneakers sold for 45 ($125 00 usd),2021-02-23 10:43:13+00:00,0
38,38,CryptoAlexUSA,1858,2436,2,if it does i would lose a lot of but gain a bunch of and 5 years later game over s win,2009-12-16 20:01:10+00:00,0
39,39,RoelMartin89,727,140,76,man_superhero _guardians chainguardians is a free to play turn based superhero strategy game powered by the ethereum blockchain fireworks all in game assets like armors weapons and characters are and tradable in the marketplace downwards_button info,2016-11-08 16:03:56+00:00,0
40,40,Juniorguanatos,188,59,284,fun fact these nike nft sneakers sold for 45 ($125 00 usd),2021-02-28 21:47:59+00:00,0
41,41,FeedGoat2000,5,12,0,feedgoat200 found in a user vault at this location join me playing it is awesome,2022-04-04 22:29:46+00:00,1
42,42,qwerdyyy06,1305,132,2047,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life 5 wl spots are up for grab follow retweet like reply,2022-02-24 04:04:49+00:00,1
43,43,EigenPhi_Alert,50,1142,0,robot made $1 079 541533 through a spatial using ( $uni $weth ),2021-03-25 07:10:50+00:00,0
44,44,Aivangrooso,3813,437,0,_financial _nft thanks for the opportunity folded_hands_light_skin_tone fire four_leaf_clover check_mark_button check_mark_button _2 check_mark_button all completed red_heart party_popper money-mouth_face confetti_ball left_arrow_curving_right great event hoping to win sports_medal $eth,2014-04-26 16:47:28+00:00,0
45,45,metacaffeine,1573,959,0,is down anyone without exposure to on is coping hard meanwhile on we like the arrt,2021-04-22 04:50:26+00:00,0
46,46,luckyyjoannaaa_,4896,151,2047,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life 5 wl spots are up for grab follow retweet like reply,2021-03-15 08:59:16+00:00,0
47,47,MSaffi95,896,596,6,explore the account and do some shopping of natural and historical images and the creative designs and paintings,2022-02-12 11:08:02+00:00,1
48,48,thvkim98,1047,138,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2022-04-18 01:09:31+00:00,1
49,49,LuckyLeap1,151,52,4,dooggie moon crew ready for takeoff,2022-03-14 05:45:04+00:00,1
50,50,cryptobatman331,193,474,0,$ftm she do not you have a heart why you did not cry on my father funeral le me watching all alts blood bath without tears broken_heart broken_heart ftm will be super bullish if btc able to reach 50k,2022-01-02 23:40:39+00:00,1
51,51,kachimanart_,4902,6143,6,"explore the world from home beaming_face_with_smiling_eyes fire take a look to my collection with the most beautiful places in the world eyes ""machu picchu"" 0 007 $eth (on chain)",2022-02-20 17:48:50+00:00,1
52,52,metaglyps,1542,371,26,a lot of scared money asking me about if i've sold or changed my targets for $matic no i have not here is my condensed thesis on why i think $matic polygon will dominate layer 2 and scale ethereum not financial advice,2010-07-04 06:54:48+00:00,0
53,53,ExplainThisBot,1,14569,0,"this means that the person is looking at some sort of data or information that is available on the ""onchain"" (likely meaning the ethereum blockchain) and that this",2022-04-12 09:32:48+00:00,1
54,54,allya_bigwin,4922,227,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2021-06-15 22:07:06+00:00,0
55,55,juniorDc94,613,125,1415,wrapped_gift giveaway wrapped_gift trophy 30$ in $sol / $eth trophy 1x must follow & _ like & rt tag 3 friends ending in 24h,2022-04-25 19:14:59+00:00,1
56,56,megacrypto77,143,484,19,it is may 1st in australia and looking like its ready to give birth,2021-10-26 20:37:26+00:00,0
57,57,Jcripps08,804,323,19,ethereum users really starting to feel at home over here on solana,2011-05-05 20:23:00+00:00,0
58,58,maxcao2204,1520,569,0,check out this item on opensea via,2021-03-15 09:28:14+00:00,0
59,59,bigwinc1tyx_,2009,39,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2021-06-11 00:58:57+00:00,0
60,60,dhanrave1,728,319,76,man_superhero _guardians chainguardians is a free to play turn based superhero strategy game powered by the ethereum blockchain fireworks all in game assets like armors weapons and characters are and tradable in the marketplace downwards_button info,2022-02-28 23:33:00+00:00,1
61,61,FARREL1408,95,69,37,jim cramer said he was expecting a 40% pump from ethereum and you still decided to remain bullish,2012-10-10 13:48:41+00:00,0
62,62,xatoshi_st,169,1753,37,jim cramer said he was expecting a 40% pump from ethereum and you still decided to remain bullish,2019-09-27 16:56:31+00:00,0
63,63,HootyFi,4,350,5,$hooty (🪹 owl ) yes the apr is accurate and 100% paid in $eth bat speaker_high_volume no emissions no inflation no deposit fees no withdrawal fees and no lockups maybe $ohm and $time should take some notes eyes,2022-04-21 01:54:29+00:00,1
64,64,cryptokrider,4977,4187,170,did you know that you can swap tokens directly within metamask fox it is simple and it is enabled on red_heart purple_heart large_orange_diamond red_triangle_pointed_up open_book follow our guide to get started,2018-12-18 11:21:43+00:00,0
65,65,SimpleC9000,58,7,0,simplec found in a blue vault at this location join me playing it is awesome,2014-11-08 04:12:37+00:00,0
66,66,AbdelwahabSaidi,8,3,0,create twitter tasks and pay with with 'd f d,2021-02-15 16:16:05+00:00,0
67,67,knnacr1,4489,259,1415,wrapped_gift giveaway wrapped_gift trophy 30$ in $sol / $eth trophy 1x must follow & _ like & rt tag 3 friends ending in 24h,2021-08-30 17:03:36+00:00,0
68,68,noolinfo,87,521,3,crypto and blockchain are genuine technological advancements and will definitely disrupt the current financial structure by disintermediating many of the holy cows of the system,2022-03-27 21:57:16+00:00,1
69,69,ridwanferguso,2797,584,1,$fergh,2018-11-23 18:53:23+00:00,0
70,70,Hasham_amjad2,141,27,0,this sort of price action from really is not interesting to many of investors,2022-02-05 17:29:32+00:00,1
71,71,SlurpinSloths,1,196,2,sloth sloth join the community now sloth sloth,2022-01-06 01:19:05+00:00,1
72,72,Kardenal95,108,147,1,check out this item on opensea via,2022-04-04 04:23:17+00:00,1
73,73,eunjncityx,4770,104,133,delighted to announce our partnership with raise finance a decentralized platform built on layer 2 providing a gas free aggregator & cross chain bridge with low transaction costs handshake we will assist _fi in building exposure to accelerate their growth,2021-12-09 12:49:44+00:00,0
74,74,SlurpinSloths,1,196,2,sloth sloth join the community now sloth sloth,2022-01-06 01:19:05+00:00,1
75,75,MetapixelsNFT,28,6,1,today we will be showing which drawing of our collection belongs and they have different statistics that are rare,2022-03-29 04:18:35+00:00,1
76,76,DelCrxpto,314,77995,10,got my raffle nft,2021-05-01 16:49:02+00:00,0
77,77,lodomain,35,23,1,look what i found 3462 collectible via,2022-04-13 23:21:58+00:00,1
78,78,QuantumFeg,680,429,284,it is nice to see a name in front of the contract $feg · _of_bsc,2021-12-01 11:55:09+00:00,0
79,79,ridwanferguso,2797,584,1,$fergh,2018-11-23 18:53:23+00:00,0
80,80,navyboy76,139,72,13,just did you miss out on bitcoin & ethereum mining pi network is a great opportunity for you mine pi coin with your smart phone mobile_phone_with_arrow by clicking on the app every 24hrs join link backhand_index_pointing_down invite code linda01,2015-04-02 18:28:25+00:00,0
81,81,sweetcatNFT,1815,830,17,new nft smiling_cat_with_heart-eyes two_hearts crown,2022-03-21 18:02:35+00:00,1
82,82,SwagableArt,134,115,2,check out my nft listing on opensea via,2021-12-02 18:42:03+00:00,0
83,83,Capitalistchad,30,111,4,$hodo ten mins left to win 20% of marketing wallet if you max buy this will be huge huge dev behind this project be surprised when you see who,2022-04-08 17:56:40+00:00,1
84,84,GoochCoin,730,704,1,police_car_light everything is on sale police_car_light,2021-12-10 02:53:27+00:00,0
85,85,CrypSight,0,161,0,"surely everyone can now see how bitcoin is ""controlled"" by the stock market and how bitcoin ""controls"" exclamation_question_mark vulcan_salute face_with_rolling_eyes $btc face_vomiting $eth $vet $one $xec $xrp $ada $xlm $shib",2015-08-27 23:51:26+00:00,0
